,scan,retention_time,intensity
142,1089.0,19.1348495483,375.0
143,1090.0,19.1519165039,252.0
144,1091.0,19.1690006256,161.0
145,1092.0,19.2056674957,126.0
146,1093.0,19.2227497101,0.0
147,1094.0,19.2398166656,161.0
148,1095.0,19.2569007874,208.0
149,1096.0,19.2739658356,117.0
150,1097.0,19.2910327911,108.0
151,1098.0,19.3081169128,0.0
152,1099.0,19.3251838684,120.0
153,1100.0,19.342250824,165.0
154,1101.0,19.3593330383,112.0
155,1102.0,19.3763999939,153.0
156,1103.0,19.3934841156,104.0
157,1104.0,19.4105491638,107.0
158,1105.0,19.4276161194,0.0
159,1106.0,19.4447002411,146.0
160,1107.0,19.4617671967,124.0
161,1108.0,19.4788341522,162.0
162,1109.0,19.4959163666,0.0
163,1110.0,19.5129833221,0.0
164,1111.0,19.5300674438,0.0
165,1112.0,19.5471324921,0.0
166,1113.0,19.5641994476,0.0
167,1114.0,19.5812835693,117.0
168,1115.0,19.5983505249,0.0
169,1116.0,19.6154327393,0.0
170,1117.0,19.6324996948,0.0
171,1118.0,19.6495666504,0.0
172,1119.0,19.6666507721,0.0
173,1120.0,19.6837158203,0.0
174,1121.0,19.7007827759,0.0
175,1122.0,19.7178668976,0.0
176,1123.0,19.7349338531,122.0
177,1124.0,19.7520160675,0.0
178,1125.0,19.7690830231,0.0
179,1126.0,19.7861499786,169.0
180,1127.0,19.8032341003,0.0
181,1128.0,19.8202991486,0.0
182,1129.0,19.8373661041,0.0
183,1130.0,19.8544502258,0.0
184,1131.0,19.8715171814,0.0
185,1132.0,19.8885993958,0.0
186,1133.0,19.9056663513,0.0
187,1134.0,19.9423503876,0.0
188,1135.0,19.9594173431,0.0
189,1136.0,19.9764995575,0.0
190,1137.0,19.9935665131,0.0
191,1138.0,20.0106334686,0.0
192,1139.0,20.0277175903,0.0
193,1140.0,20.0447826385,0.0
194,1141.0,20.0618495941,0.0
195,1142.0,20.0789337158,109.0
196,1143.0,20.0960006714,0.0
197,1144.0,20.1130828857,0.0
198,1145.0,20.1301498413,0.0
199,1146.0,20.1472167969,0.0
200,1147.0,20.1643009186,0.0
